# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   dct: http://purl.org/dc/terms/
#   dcat: http://www.w3.org/ns/dcat#
#   kobo: https://example.org/kobo/
#   gdsc: https://gdsc.idsc.miami.edu/terms/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   ext: https://example.org/sssom-extensions/
#   qudt: http://qudt.org/schema/qudt/
#   unit: http://qudt.org/vocab/unit/
#   xsd: http://www.w3.org/2001/XMLSchema#
#   pato: http://purl.obolibrary.org/obo/PATO_
# extension_definitions:
#   - slot_name: source_jsonpath
#     property: ext:source_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: target_jsonpath
#     property: ext:target_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: transform_rule
#     property: ext:transform_rule
#     type_hint: http://www.w3.org/2001/XMLSchema#string
# mapping_set_id: https://example.org/mappings/gaia_metadata_authoring_form_v2_record_026
# mapping_set_title: "GDSC Gaia Catalog KoboToolbox Form v2 to Schema.org JSON-LD (Record 26: Miami-Dade Fire Stations)"
# mapping_set_description: "Full SSSOM crosswalk from KoboToolbox raw JSON (gaia_metadata_authoring_form_v2, record 26) to Schema.org JSON-LD per GDSC conventions. Generated from scratch using prompt template v2. Covers all mappable fields; -- and system fields in UNMAPPED table. No temporal metadata present in this record."
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	predicate_id	object_id	mapping_justification	confidence	subject_label	object_label	subject_category	object_category	source_jsonpath	target_jsonpath	transform_rule	comment
kobo:Dataset	skos:exactMatch	schema:Dataset	semapv:ManualMappingCuration	1.0	Kobo dataset record	Dataset	owl:Class	owl:Class	$.datasets[*]	$	create_dataset_object_with_id	Each Kobo submission becomes one Schema.org Dataset. Emit @id from etl_group/table_name as https://gdsc.idsc.miami.edu/detail/{table_name}. Extend @context with qudt, xsd, pato and set @language to en.
kobo:title	skos:exactMatch	schema:name	semapv:ManualMappingCuration	1.0	Title	name	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/title']	$.name	string	Kobo title is the Schema.org Dataset name; direct string copy.
kobo:description	skos:exactMatch	schema:description	semapv:ManualMappingCuration	1.0	Description	description	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/description']	$.description	string	Dataset abstract maps exactly to schema:description; direct string copy.
kobo:url	skos:exactMatch	schema:url	semapv:ManualMappingCuration	1.0	URL	url	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/url']	$.url	string	Dataset landing page URL; direct string copy.
kobo:license	skos:exactMatch	schema:license	semapv:ManualMappingCuration	1.0	License	license	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/license']	$.license	license_code_to_uri:cc_by=https://creativecommons.org/licenses/by/4.0/,cc0=https://creativecommons.org/publicdomain/zero/1.0/,cc_by_sa=https://creativecommons.org/licenses/by-sa/4.0/,cc_by_nc=https://creativecommons.org/licenses/by-nc/4.0/	Code "odc_by" (Open Data Commons Attribution) is not in the standard CC map; flag for human review to add odc_by=https://opendatacommons.org/licenses/by/ to the rule.
kobo:license_text	skos:closeMatch	schema:usageInfo	semapv:ManualMappingCuration	0.85	License text	usageInfo	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/license_text']	$.usageInfo	string	Verbose legal disclaimer text maps closely to schema:usageInfo; stored as plain string since it is the county-specific usage notice.
kobo:rights	skos:closeMatch	schema:isAccessibleForFree	semapv:ManualMappingCuration	0.75	Rights	isAccessibleForFree	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/rights']	$.isAccessibleForFree	cc_to_boolean	Value is "Public Domain" (not a CC URI); cc_to_boolean should emit true for public domain declarations — flag for human review to extend rule.
kobo:restrictions	skos:closeMatch	schema:conditionsOfAccess	semapv:ManualMappingCuration	0.85	Restrictions	conditionsOfAccess	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/restrictions']	$.conditionsOfAccess	string	Free-text access restriction note maps to schema:conditionsOfAccess; value "not provided" may be conditionally omitted in transform.
kobo:language	skos:exactMatch	schema:inLanguage	semapv:ManualMappingCuration	1.0	Language	inLanguage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/language']	$.inLanguage	string	BCP-47 language code maps exactly to schema:inLanguage.
kobo:publication_date	skos:exactMatch	schema:datePublished	semapv:ManualMappingCuration	1.0	Publication date	datePublished	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publication_date']	$.datePublished	date	Publication date in ISO 8601 format maps exactly to schema:datePublished.
kobo:resource_type	skos:closeMatch	dct:type	semapv:ManualMappingCuration	0.85	Resource type	type	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/resource_type']	$.additionalType	definedterm:termSet=resourceType,termSetUrl=https://gdsc.idsc.miami.edu/vocab/resourceType,name=GDSC Resource Type	Controlled value "vector_dataset" mapped to a DefinedTerm under dct:type; inDefinedTermSet pointing to GDSC resource type vocab.
kobo:provenance	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.85	Provenance	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/provenance']	$.additionalProperty[*]	property_value:name=provenance	Provenance note "direct from source" has no direct Schema.org property; stored as a named PropertyValue on the dataset.
kobo:creator_name	skos:closeMatch	schema:creator	semapv:ManualMappingCuration	0.9	Creator name	creator	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/creator_group'][*]	$.creator	role_organization_array	Map creator_name→Organization.name, creator_type→Organization.additionalType; wrap in Role with roleName=creator; no ROR ID present in this record.
kobo:publisher_name	skos:closeMatch	schema:provider	semapv:ManualMappingCuration	0.85	Publisher name	provider	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publisher_group'][*]	$.provider	provider_organization_array	Map publisher_name→Organization.name ("Miami-Dade County"); ROR ID not confirmed — flag for human review.
kobo:coverage_name	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.85	Coverage name	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/coverage_group'][*]	$.spatialCoverage	place_object_with_geonames	Map coverage_name→Place.name; build GeoNames additionalProperty from coverage_identifier (4164238 = Miami-Dade County) and coverage_identifier_schema_uri; bounding box supplied from iso_group/extent.
kobo:subject_terms	skos:closeMatch	schema:keywords	semapv:ManualMappingCuration	0.9	Subject terms	keywords	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/subject_group'][*]['dublin_core_group/subject_group/subject_term']	$.keywords	array	Subject terms collected into flat string array for schema:keywords; note "Emergency|" contains a trailing pipe character — strip before emitting.
kobo:structure	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.75	Structure	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/structure']	$.measurementTechnique	definedterm:termSet=dataRepresentation,termSetUrl=https://gdsc.idsc.miami.edu/vocab/dataRepresentation,name=GIS Data Structure	Emit DefinedTerm with termCode="vector"; inDefinedTermSet pointing to GDSC dataRepresentation vocab.
kobo:geometry	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.8	Geometry	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/geometry']	$.measurementTechnique	definedterm:termSet=vectorGeometry,termSetUrl=https://gdsc.idsc.miami.edu/vocab/vectorGeometry,name=GIS Vector Geometry	Emit DefinedTerm with termCode="point"; inDefinedTermSet pointing to GDSC vector geometry vocab.
kobo:epsg	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.8	EPSG	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/epsg']	$.spatialCoverage.additionalProperty	srs_propertyvalue:uriTemplate=http://www.opengis.net/def/crs/EPSG/0/{value}	Append to spatialCoverage.additionalProperty as PropertyValue with name="Spatial Reference System" and full OGC SRS URI (EPSG:4326).
kobo:extent	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.85	Extent	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/extent']	$.spatialCoverage.geo	bbox_to_geo_shape:format=minX|minY|maxX|maxY	Value "-8959341.3726|2930803.5471|-8919271.5634|2994741.4368" is a pipe-delimited bounding box in EPSG:2236 projected coordinates; parse and reproject to WGS84 lat/lon before emitting as schema:GeoShape.box — requires external CRS transform step.
kobo:data_level	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	Data level	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/data_level']	$.additionalProperty[*]	property_value:name=dataLevel	ISO processing level "observed" has no direct Schema.org property; stored as a named PropertyValue.
kobo:attributes	skos:closeMatch	schema:variableMeasured	semapv:ManualMappingCuration	0.85	Attributes	variableMeasured	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/attributes_group'][*]	$.variableMeasured	propertyvalue_schema_objects	Map attribute_name→name, attribute_description→description, attribute_type→qudt:dataType (string→xsd:string, integer→xsd:integer, numeric→xsd:float, other→xsd:anyType), attribute_source→additionalProperty named attributeSource; no temporal sub-fields present in this record.
kobo:collections	skos:closeMatch	schema:includedInDataCatalog	semapv:ManualMappingCuration	0.8	Collections	includedInDataCatalog	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/collections']	$.includedInDataCatalog	datacatalog_objects	Single token "displacement-vulnerability-mitigation-tool" becomes a DataCatalog with @id=https://gdsc.idsc.miami.edu/?collection=displacement-vulnerability-mitigation-tool; always prepend root GDSC catalog.
kobo:sponsor_name	skos:closeMatch	schema:funder	semapv:ManualMappingCuration	0.85	Sponsor name	funder	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/sponsor_group'][*]	$.funder	provider_organization_array	Map sponsor_name→Organization.name and sponsor_url→Organization.url; ROR IDs for IDSC and UM Library not confirmed — flag for human review.
kobo:disclaimer	skos:closeMatch	schema:disclaimer	semapv:ManualMappingCuration	0.85	Disclaimer	disclaimer	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/disclaimer']	$.disclaimer	string	Verbose Miami-Dade County legal disclaimer maps to schema:disclaimer (added in Schema.org v13); same text as license_text in this record — consider deduplication in transform.
kobo:source	skos:closeMatch	schema:distribution	semapv:ManualMappingCuration	0.9	Source URL	distribution	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/source']	$.distribution	datadownload_source:type=DataDownload,name=Source distribution	Full ArcGIS FeatureServer query URL becomes the contentUrl of a schema:DataDownload object under schema:distribution.
kobo:parameters	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	ETL parameters	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/parameters']	$.additionalProperty[*]	property_value:name=etlParameters	ArcGIS query parameter string has no Schema.org equivalent; stored as a named PropertyValue for pipeline reproducibility.
kobo:file_name_value	skos:closeMatch	schema:name	semapv:ManualMappingCuration	0.85	File name	name	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/file_name_group'][*]['etl_group/file_name_group/file_name_value']	$.distribution[0].name	datadownload_source:type=DataDownload,name=Source distribution	File name becomes the name field of the DataDownload object in schema:distribution.
kobo:file_inside_archive	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	File inside archive	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/file_name_group'][*]['etl_group/file_name_group/file_inside_archive']	$.distribution[0].additionalProperty[*]	property_value:name=fileInsideArchive	Archive member path ("json") has no Schema.org equivalent; stored as a named PropertyValue on the DataDownload object.
kobo:extension	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.85	Extension	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/extension']	$.distribution[0].encodingFormat	extension_to_media_type_or_string	Extension "json" should resolve to "application/json"; falls back to string if MIME mapping unavailable.
kobo:format	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.8	Format	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/format']	$.distribution[0].encodingFormat	format_to_media_type_or_string	Format "json" should resolve to "application/json"; same as extension in this record — deduplication logic applies.
kobo:table_name	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.9	Table name	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/table_name']	$.additionalProperty[*]	property_value:name=postgis_table	Gaia/PostGIS table name "mdc_fire_stations" is operational metadata stored as a named PropertyValue.
kobo:service	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	ETL service	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/service']	$.additionalProperty[*]	property_value:name=etlService	ETL service descriptor "api arcgis query" has no Schema.org equivalent; stored as a named PropertyValue.
kobo:download	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	Download method	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/download']	$.additionalProperty[*]	property_value:name=downloadMethod	Download method "wget" is an operational ETL instruction; stored as a named PropertyValue.
kobo:last_updated	skos:exactMatch	schema:dateModified	semapv:ManualMappingCuration	1.0	Last updated	dateModified	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/last_updated']	$.dateModified	date	Last data update date in ISO 8601 format maps exactly to schema:dateModified.
kobo:update_frequency	skos:exactMatch	dct:accrualPeriodicity	semapv:ManualMappingCuration	1.0	Update frequency	accrualPeriodicity	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/update_frequency']	$['dct:accrualPeriodicity']	controlled_value	"one_year" maps to Dublin Core accrual periodicity; resolve to MDR frequency URI (http://publications.europa.eu/resource/authority/frequency/ANNUAL) if needed.
kobo:columns_group	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	Source column names	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/columns_group'][*]	$.additionalProperty[*]	property_value:name=sourceColumns	Array of source column names from the ArcGIS service; no Schema.org equivalent; stored as a single named PropertyValue with array value for pipeline use.
